Lecture ID,Lecture title,YouTube URL,Output name
hydrocarbons-lecture-05,"Preparation of Alkanes 05: Clemenson & Wolf-Kishner Reduction, Red P /HI Method",https://youtu.be/ZYzCfimE880,comments-05-preparation-of-alkanes-05-clemenson-and-wolf-kishner-reduction-red-p-hi-method
hydrocarbons-lecture-06,Preparation of Alkanes 06: From Grignard's Reagant and Corey-House Synthesis JEE,https://youtu.be/cM_PTvxDM2E,comments-06-preparation-of-alkanes-06-from-grignards-reagant-and-corey-house-synthesis-jee
hydrocarbons-lecture-07,Properties of Alkanes 01: Halogenation Of Alkane (Compilation of previous Videos),https://youtu.be/4AX0Lb9hBOI,comments-07-properties-of-alkanes-01-halogenation-of-alkane-compilation-of-previous-videos
hydrocarbons-lecture-08,"Properties of Alkanes 02: Nitration, Sulphonation, Pyrolysis, Aromatization",https://youtu.be/PzKS_OaZn0k,comments-08-properties-of-alkanes-02-nitration-sulphonation-pyrolysis-aromatization
hydrocarbons-lecture-09,Properties of Alkanes 03: Oxidation - Catalytic Oxidation and Combustion,https://youtu.be/CEZBZo0iA3U,comments-09-properties-of-alkanes-03-oxidation-catalytic-oxidation-and-combustion
hydrocarbons-lecture-10,Preparation of Alkenes 1: Dehydration Of Alcohols and From Alkyl Halide,https://youtu.be/2vjvCYYdVXQ,comments-10-preparation-of-alkenes-1-dehydration-of-alcohols-and-from-alkyl-halide
hydrocarbons-lecture-11,Preparation of Alkenes 2: From Alkyne - Birch Reduction and Lindlar's Catalyst,https://youtu.be/CpaVjjeL454,comments-11-preparation-of-alkenes-2-from-alkyne-birch-reduction-and-lindlars-catalyst
hydrocarbons-lecture-12,"Properties of Alkenes 1: Addition of Hydrogen, Halogen and Halogen Acid",https://youtu.be/viPN1T_z9Rc,comments-12-properties-of-alkenes-1-addition-of-hydrogen-halogen-and-halogen-acid
hydrocarbons-lecture-13,Properties of Alkenes 2: Addition of Water - Acid Catalyzed Hydration of Alkene,https://youtu.be/53saGWuL-0A,comments-13-properties-of-alkenes-2-addition-of-water-acid-catalyzed-hydration-of-alkene
hydrocarbons-lecture-14,Properties of Alkenes 3: Addition of Water - HydroBoration-Oxidation,https://youtu.be/y4ROwu7m-Z4,comments-14-properties-of-alkenes-3-addition-of-water-hydroboration-oxidation
